season,player,salary,real_value,difference,games,status,player_hh
2010-11,Russell Westbrook,4017720.0,18714304.0,14696584.0,99.0,U,Russell Westbrook
2019-20,Anthony Davis,27093019.0,41674481.0,14581462.0,83.0,U,Anthony Davis
2017-18,James Harden,28299399.0,42829226.0,14529827.0,89.0,U,James Harden
2018-19,Donovan Mitchell,3111480.0,17631452.0,14519972.0,82.0,U,Donovan Mitchell
2020-21,Michael Porter Jr.,3550800.0,17863676.0,14312876.0,71.0,U,Michael Porter
2018-19,JaKarr Sampson,85457.0,14381363.0,14295906.0,4.0,U,JaKarr Sampson
2021-22,Darius Garland,7040880.0,21308879.0,14267999.0,70.0,U,Darius Garland
2013-14,Kevin Durant,18773176.0,33013068.0,14239892.0,100.0,U,Kevin Durant
2019-20,Shai Gilgeous-Alexander,3952920.0,18158307.0,14205387.0,77.0,U,Shai Gilgeous-Alexander
2011-12,Russell Westbrook,5082416.0,19283754.0,14201338.0,86.0,U,Russell Westbrook
2018-19,Devin Booker,3314365.0,17507467.0,14193102.0,64.0,U,Devin Booker
2012-13,Stephen Curry,3958742.0,18148446.0,14189704.0,90.0,U,Stephen Curry
2009-10,Brandon Roy,3910816.0,18094127.0,14183311.0,68.0,U,Brandon Roy
2021-22,Jalen Brunson,1802057.0,15905503.0,14103446.0,97.0,U,Jalen Brunson
2017-18,Joel Embiid,6100266.0,20195339.0,14095073.0,71.0,U,Joel Embiid
2005-06,Chauncey Billups,5909800.0,19966838.0,14057038.0,99.0,U,Chauncey Billups
2013-14,LeBron James,19067500.0,33045841.0,13978341.0,97.0,U,LeBron James
2012-13,Kevin Durant,17548838.0,31507182.0,13958344.0,92.0,U,Kevin Durant
2002-03,Tracy McGrady,12072500.0,25995996.0,13923496.0,82.0,U,Tracy McGrady
2019-20,Devonte' Graham,1416852.0,15338699.0,13921847.0,63.0,U,Devonte Graham
2004-05,Metta World Peace,6157895.0,19963726.0,13805831.0,7.0,U,Metta World Peace
2018-19,Ben Simmons,6434520.0,20149583.0,13715063.0,91.0,U,Ben Simmons
2003-04,Andrei Kirilenko,955800.0,14641262.0,13685462.0,78.0,U,Andrei Kirilenko
2009-10,Rajon Rondo,2094922.0,15769303.0,13674381.0,105.0,U,Rajon Rondo
2001-02,Paul Pierce,2051271.0,15671518.0,13620247.0,98.0,U,Paul Pierce
2013-14,Paul George,3282003.0,16835849.0,13553846.0,99.0,U,Paul George
2021-22,Tyrese Maxey,2602920.0,16001564.0,13398644.0,87.0,U,Tyrese Maxey
2008-09,Rajon Rondo,1315080.0,14585203.0,13270123.0,94.0,U,Rajon Rondo
2006-07,Chris Bosh,4235220.0,17402149.0,13166929.0,75.0,U,Chris Bosh
2021-22,Nikola Jokic,31044906.0,44168302.0,13123396.0,79.0,U,Nikola Jokic
2014-15,James Harden,14693906.0,27731934.0,13038028.0,98.0,U,James Harden
2017-18,Ben Simmons,6168840.0,19075740.0,12906900.0,91.0,U,Ben Simmons
2015-16,Hassan Whiteside,981348.0,13804302.0,12822954.0,83.0,U,Hassan Whiteside
2011-12,Ty Lawson,1654440.0,14470105.0,12815665.0,68.0,U,Ty Lawson
2013-14,Anthony Davis,5375760.0,18167698.0,12791938.0,67.0,U,Anthony Davis
2018-19,Jamal Murray,3499800.0,16285819.0,12786019.0,89.0,U,Jamal Murray
2007-08,Monta Ellis,770610.0,13543562.0,12772952.0,81.0,U,Monta Ellis
2018-19,John Collins,2299080.0,15020555.0,12721475.0,61.0,U,John Collins
2011-12,Kevin Durant,15506632.0,28224454.0,12717822.0,86.0,U,Kevin Durant
2002-03,Tim Duncan,12072500.0,24651885.0,12579385.0,105.0,U,Tim Duncan
2008-09,Deron Williams,5069449.0,17627752.0,12558303.0,73.0,U,Deron Williams
2015-16,Russell Westbrook,16744218.0,29254106.0,12509888.0,98.0,U,Russell Westbrook
